address,company,position
北京,"
阿里
",垂直业务产品专家-北京 广州
杭州,"
阿里
",中台运营专家
杭州,"
阿里
",医学专家
杭州,"
阿里
",业务发展专家
杭州,"
阿里
",高级Java开发工程师-杭州
杭州,"
阿里
",高级业务发展专家
上海,"
阿里
",客服专员
上海,"
阿里
",资深java开发公司)
成都,"
阿里
",盒马鲜生-营销师傅
杭州,"
阿里
",区块链开发
北京,"
阿里
",路径规划算法
南京,"
阿里
",企业智能事业部-技术专家
杭州,"
阿里
",技术专家
北京,"
阿里
",大文娱优酷-创意设计专家
北京,"
阿里
",大文娱-高级前端开发工程师 前端专家-奥运项目
青岛,"
青岛新视点
",销售代表
上海,"
青岛达内，青岛达内科技，青岛达内软件
",运营支持经理
上海,"
青岛达内，青岛达内科技，青岛达内软件
",电话邀约电话客服
上海,"
青岛达内，青岛达内科技，青岛达内软件
",课程顾问主管经理
上海,"
青岛达内，青岛达内科技，青岛达内软件
",TMK 单双休 朝九晚六
上海,"
青岛达内，青岛达内科技，青岛达内软件
",上市公司 课程顾问 就近分配
青岛,"
青岛万科房地产有限公司
",片区营销负责人
青岛,"
青岛万科房地产有限公司
",项目营销负责人
乌鲁木齐,"
特锐德
",新疆大区营销经理
青岛,"
特锐德
",公司保安
青岛,"
特锐德
",安全工程师
青岛,"
特锐德
",土建工程师
青岛,"
特锐德
",营销经理-暖通方向
青岛,"
特锐德
",水暖工程师
青岛,"
特锐德
",工艺工程师
青岛,"
特锐德
",营销经理-新能源
青岛,"
特锐德
",机械结构设计工程师
青岛,"
特锐德
",储能系统工程师
青岛,"
特锐德
",工业设计工程师
青岛,"
特锐德
",工程电气专工
青岛,"
特锐德
",国际采购经理
青岛,"
特锐德
",商务支持
青岛,"
特锐德
",技术支持工程师
郑州,"
青岛啤酒
",促销员主管
西双版纳,"
青岛啤酒
",业务主管
红河,"
青岛啤酒
",业务主管
昭通,"
青岛啤酒
",业务主管
文山,"
青岛啤酒
",业务主管
普洱,"
青岛啤酒
",业务主管
昆明,"
青岛啤酒
",业务主管
德宏,"
青岛啤酒
",业务主管
曲靖,"
青岛啤酒
",业务主管
临沧,"
青岛啤酒
",业务主管
郑州,"
青岛啤酒
",销售经理
郑州,"
青岛啤酒
",销售主管
鄂尔多斯,"
青岛啤酒
",青岛啤酒业务代表
海口,"
青岛啤酒
",健康饮品运营管理专员
南宁,"
青岛啤酒
",销售管培生
青岛,"
北方互联
",Java实习生
青岛,"
北方互联
",电话销售
青岛,"
北方互联
",影视后期制作+双休
青岛,"
北方互联
",电话客服专员
青岛,"
北方互联
",新媒体运营专员
青岛,"
北方互联
",市场助理
青岛,"
北方互联
",JAVA开发工程师实习生
青岛,"
北方互联
",Java开发实习生
青岛,"
北方互联
",游戏开发工程师
青岛,"
北方互联
",视频剪辑
青岛,"
北方互联
",诚招后期特效实习生+双休
青岛,"
北方互联
",后期实习生+双休
青岛,"
北方互联
",影视后期制作
青岛,"
北方互联
",渠道销售经理
青岛,"
北方互联
",Java开发工程师可实习
青岛,"
海尔
",流程规划经理
青岛,"
海尔
",品牌维权经理
西安,"
海尔
",前端开发工程师
贵阳,"
海尔
",市场运营专员
大连,"
海尔
",销售储备管理人才
