rank,name,comments,author,publisher
1,神奇校车・图画书版（全12册，新增科学博览会1册）,1225397,"(美)乔安娜柯尔 著 ,(美)布鲁斯・迪根 图",贵州人民出版社
2,丁香医生健康日历2020,71843,丁香医生 著,中国轻工业出版社
3,小熊和最好的爸爸（全7册）,975278,（荷）阿兰德・丹姆  著，（荷）亚历克斯・沃尔夫  绘，漆仰平，爱桐  译,贵州人民出版社
4,活着（2017年新版）,2516303,余华,作家出版社
5,你当像鸟飞往你的山（比尔・盖茨年度特别推荐，登顶《纽约时报》...,8707,塔拉 ・ 韦斯特弗  著 ， 新经典  出品,南海出版公司
6,正面管教(修订版),1087041,[美] 简・尼尔森,北京联合出版公司
7,人间失格（日本小说家太宰治的自传体小说，李现推荐）,1589100,（日）太宰治　著，杨伟　译,作家出版社
8,神奇校车・桥梁书版（全20册）,833610,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,贵州人民出版社
9,我喜欢生命本来的样子(周国平经典散文作品集),599653,周国平,作家出版社
10,少年读史记（套装全5册）,638379,张嘉骅,青岛出版社
11,樊登推荐 你就是孩子最好的玩具,234803,（美）金伯莉・布雷恩  著，夏欣茁 译,南方出版社
12,笑背古诗：漫画版（全4册 ），中国诗词大会点评嘉宾推荐 含小学生...,72581,刘义良 著，夏和 绘,湖南教育出版社
13,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书）,33287,[日]中村恒子（恒子奶奶）著，紫图出品,北京日报出版社（原同心出版社）
14,丰子恺万般滋味，都是生活,263605,丰子恺,华中科技大学出版社
15,共情的力量：情商高的人，如何抚慰受伤的灵魂,47910,【美】亚瑟・乔拉米卡利 【美】凯瑟琳・柯茜  著，开森心理 出品,中国致公出版社
16,一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,63501,歪歪兔关键期早教 项目组编绘,海豚出版社
17,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,970451,刘慈欣,重庆出版社
18,故宫日历2020年,64901,陈丽华 冯贺军 李��,故宫出版社
19,我的第一本地理启蒙书,633820,郑利强 段虹(绘) 步印童书 出品,新世界出版社
20,平凡的世界：全三册（故事里的中国，董卿、朱一龙推荐，八年级下...,1124880,路遥 著，新经典 出品,北京十月文艺出版社
21,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,1451977,[日]东野圭吾 著，新经典 出品,南海出版公司
22,作家榜经典：月亮与六便士（畅销250万册！荣获2018当当名著桂冠！...,820261,毛姆 著，徐淳刚 译，大星文化 出品，作家榜经典文库，高更 绘,浙江文艺出版社
23,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,125154,(英) 盖温・肯尼迪 (Gavin Kennedy),民主与建设出版社
24,皮囊（350万册纪念版。直面人生的终极问题，刻在骨头里的故事，容...,855865,蔡崇达，果麦文化 出品,天津人民出版社
25,非暴力沟通,441068,（美）马歇尔?卢森堡著   阮胤华译,华夏出版社
26,万历十五年 一本好书 腾讯视频栏目推荐,651165,黄仁宇,生活.读书.新知三联书店
27,亲密关系：通往灵魂的桥梁（新版）,284541,"（加）克里斯多福・孟 著,博集天卷 出品",湖南文艺出版社
28,写给儿童的中国历史（全14册）,687292,陈卫平著 步印童书 出品,新世界出版社
29,人生海海（麦家重磅新作！莫言、董卿、王家卫、高晓松、杨洋倾力...,271160,麦家  著 ，新经典  出品,北京十月文艺出版社
30,马尔克斯：百年孤独（50周年纪念版）,1436559,加西亚・马尔克斯 著，新经典 出品,南海出版公司
31,边城：沈从文小说精粹（一曲爱与美的田园牧歌）,41602,沈从文,中国友谊出版公司
32,米小圈脑筋急转弯（套装共4册）,356518,北猫,四川少儿出版社
33,我喜欢你，像风走了八千里（随机签名版）,59935,末那大叔,中国友谊出版公司
34,DK幼儿百科全书――那些重要的事,228907,英国DK公司,中国大百科全书出版社
35,了不起的我：自我发展的心理学（陈海贤重磅新作，得到App10万+付...,38652,陈海贤 得到出品,台海出版社
36,断舍离,599584,(日)山下英子,广西科学技术出版社
37,拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习必备启蒙书...,86785,周霞 著 段张取艺 绘,电子工业出版社
38,米小圈漫画成语（套装共4册）,302241,北猫,四川少儿出版社
39,宫西达也超级绘本（加法超人与算术星人+狐狸爸爸笑了等全11册）,148525,[日]宫西达也,青岛出版社
40,手不是用来打人的（儿童好品德系列，全5册）,214669,（美）伊丽莎白・弗迪克等著 陈薇薇、刘宣谷译 步印童书 出品,贵州教育出版社
