rank,name,comments,author,publisher
1,丁香医生健康日历2020,77048,丁香医生 著,中国轻工业出版社
2,神奇校车・图画书版（全12册，新增科学博览会1册）,1227431,"(美)乔安娜柯尔 著 ,(美)布鲁斯・迪根 图",贵州人民出版社
3,你当像鸟飞往你的山（比尔・盖茨年度特别推荐，登顶《纽约时报》...,10959,塔拉 ・ 韦斯特弗  著 ， 新经典  出品,南海出版公司
4,活着（2017年新版）,2523524,余华,作家出版社
5,正面管教(修订版),1096155,[美] 简・尼尔森,北京联合出版公司
6,小熊和最好的爸爸（全7册）,978460,（荷）阿兰德・丹姆  著，（荷）亚历克斯・沃尔夫  绘，漆仰平，爱桐  译,贵州人民出版社
7,人间失格（日本小说家太宰治的自传体小说，李现推荐）,1595210,（日）太宰治　著，杨伟　译,作家出版社
8,故宫日历2020年,66191,陈丽华 冯贺军 李��,故宫出版社
9,神奇校车・桥梁书版（全20册）,835243,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,贵州人民出版社
10,樊登推荐 你就是孩子最好的玩具,238105,（美）金伯莉・布雷恩  著，夏欣茁 译,南方出版社
11,笑背古诗：漫画版（全4册 ），中国诗词大会点评嘉宾推荐 含小学生...,73992,刘义良 著，夏和 绘,湖南教育出版社
12,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,974891,刘慈欣,重庆出版社
13,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书）,35502,[日]中村恒子（恒子奶奶）著，紫图出品,北京日报出版社（原同心出版社）
14,了不起的我：自我发展的心理学（陈海贤重磅新作，得到App10万+付...,40465,陈海贤 得到出品,台海出版社
15,信谊世界精选图画书・猜猜我有多爱你,655990,[英]麦克布雷尼 编文；[英]婕朗 绘；梅子涵 译,明天出版社
16,我喜欢生命本来的样子(周国平经典散文作品集),601335,周国平,作家出版社
17,丰子恺万般滋味，都是生活,265112,丰子恺,华中科技大学出版社
18,写给儿童的中国历史（全14册）,688394,陈卫平著 步印童书 出品,新世界出版社
19,信谊世界精选图画书-好饿的毛毛虫,78389,艾瑞・卡尔 著,明天出版社
20,非暴力沟通,445273,（美）马歇尔?卢森堡著   阮胤华译,华夏出版社
21,少年读史记（套装全5册）,639841,张嘉骅,青岛出版社
22,亲密关系：通往灵魂的桥梁（新版）,287426,"（加）克里斯多福・孟 著,博集天卷 出品",湖南文艺出版社
23,平凡的世界：全三册（故事里的中国，董卿、朱一龙推荐，八年级下...,1126791,路遥 著，新经典 出品,北京十月文艺出版社
24,人生海海（麦家重磅新作！莫言、董卿、王家卫、高晓松、杨洋倾力...,273840,麦家  著 ，新经典  出品,北京十月文艺出版社
25,银火箭少年科幻系列 （8册。亚洲首位“雨果奖”得主刘慈欣主编，...,330240,刘慈欣、[英]赫伯特・乔治・威尔斯、[英]玛丽・雪莱等 著，张荣梅 策划，小当当童书馆 出品,浙江教育出版社
26,DK幼儿百科全书――那些重要的事,229504,英国DK公司,中国大百科全书出版社
27,共情的力量：情商高的人，如何抚慰受伤的灵魂,49246,【美】亚瑟・乔拉米卡利 【美】凯瑟琳・柯茜  著，开森心理 出品,中国致公出版社
28,一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,65385,歪歪兔关键期早教 项目组编绘,海豚出版社
29,追风筝的人（2018年新版）,2565971,[美]卡勒德・胡赛尼（Khaled Hosseini） 著，李继宏 译,上海人民出版社
30,作家榜经典：月亮与六便士（畅销250万册！荣获2018当当名著桂冠！...,822839,毛姆 著，徐淳刚 译，大星文化 出品，作家榜经典文库，高更 绘,浙江文艺出版社
31,信谊世界精选图画书・爷爷一定有办法,365287,[加] 菲比・吉尔曼 著；宋�� 译,明天出版社
32,皮囊（350万册纪念版。直面人生的终极问题，刻在骨头里的故事，容...,859269,蔡崇达，果麦文化 出品,天津人民出版社
33,断舍离,602063,(日)山下英子,广西科学技术出版社
34,小鸡球球触感玩具书：全5册,185877,[日]入山智 著绘；崔维燕 译；心喜阅童书 出品,长江少年儿童出版社
35,马尔克斯：百年孤独（50周年纪念版）,1438312,加西亚・马尔克斯 著，新经典 出品,南海出版公司
36,薛兆丰经济学讲义,177028,薛兆丰,中信出版社
37,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,1454085,[日]东野圭吾 著，新经典 出品,南海出版公司
38,飞花令里读诗词 日历2020年,7903,琬如,四川人民出版社
39,万历十五年 一本好书 腾讯视频栏目推荐,653332,黄仁宇,生活.读书.新知三联书店
40,我的第一本地理启蒙书,635141,郑利强 段虹(绘) 步印童书 出品,新世界出版社
