书名,作者,价格
神奇校车・图画书版（全12册，新增科学博览会1册）,"(美)乔安娜柯尔 著 ,(美)布鲁斯・迪根 图",¥99.00
丁香医生健康日历2020,丁香医生 著,¥39.00
小熊和最好的爸爸（全7册）,（荷）阿兰德・丹姆  著，（荷）亚历克斯・沃尔夫  绘，漆仰平，爱桐  译,¥17.50
活着（2017年新版）,余华,¥14.00
正面管教(修订版),[美] 简・尼尔森,¥19.00
人间失格（日本小说家太宰治的自传体小说，李现推荐）,（日）太宰治　著，杨伟　译,¥10.00
你当像鸟飞往你的山（比尔・盖茨年度特别推荐，登顶《纽约时报》畅销榜80 周！多一个人读到这个真实故事，就多一个人勇敢做自己！）,塔拉 ・ 韦斯特弗  著 ， 新经典  出品,¥29.20
神奇校车・桥梁书版（全20册）,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,¥75.00
我喜欢生命本来的样子(周国平经典散文作品集),周国平,¥20.20
樊登推荐 你就是孩子最好的玩具,（美）金伯莉・布雷恩  著，夏欣茁 译,¥14.90
少年读史记（套装全5册）,张嘉骅,¥50.00
笑背古诗：漫画版（全4册 ），中国诗词大会点评嘉宾推荐 含小学生必背古诗词75首+80首 适合小学生的国学经典儿童诗歌 当当首发独家,刘义良 著，夏和 绘,¥70.00
人间值得（90岁心理医生恒子奶奶写给生活的哲思小书）,[日]中村恒子（恒子奶奶）著，紫图出品,¥24.70
共情的力量：情商高的人，如何抚慰受伤的灵魂,【美】亚瑟・乔拉米卡利 【美】凯瑟琳・柯茜  著，开森心理 出品,¥24.90
丰子恺万般滋味，都是生活,丰子恺,¥21.00
一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,歪歪兔关键期早教 项目组编绘,¥64.00
三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,刘慈欣,¥46.50
我的第一本地理启蒙书,郑利强 段虹(绘) 步印童书 出品,¥24.90
故宫日历2020年,陈丽华 冯贺军 李��,¥38.00
谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,(英) 盖温・肯尼迪 (Gavin Kennedy),¥22.50
平凡的世界：全三册（故事里的中国，董卿、朱一龙推荐，八年级下册自主阅读推荐）,路遥 著，新经典 出品,¥108.00
作家榜经典：月亮与六便士（畅销250万册！荣获2018当当名著桂冠！2017豆瓣阅读桂冠！上海国际学校指定必读译本）,毛姆 著，徐淳刚 译，大星文化 出品，作家榜经典文库，高更 绘,¥18.10
东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,[日]东野圭吾 著，新经典 出品,¥59.60
万历十五年 一本好书 腾讯视频栏目推荐,黄仁宇,¥13.00
非暴力沟通,（美）马歇尔?卢森堡著   阮胤华译,¥29.40
写给儿童的中国历史（全14册）,陈卫平著 步印童书 出品,¥177.50
皮囊（350万册纪念版。直面人生的终极问题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命。感动千万读者的国民读本）,蔡崇达，果麦文化 出品,¥24.70
