rank,name,comments,author,publisher
1,你当像鸟飞往你的山（比尔·盖茨年度特别推荐，登顶《纽约时报》...,12870,塔拉 · 韦斯特弗  著 ， 新经典  出品,南海出版公司
2,正面管教(修订版),1103856,[美] 简·尼尔森,北京联合出版公司
3,活着（2017年新版）,2529101,余华,作家出版社
4,故宫日历2020年,67152,陈丽华 冯贺军 李湜,故宫出版社
5,信谊世界精选图画书·猜猜我有多爱你,657033,[英]麦克布雷尼 编文；[英]婕朗 绘；梅子涵 译,明天出版社
6,丁香医生健康日历2020,79151,丁香医生 著,中国轻工业出版社
7,了不起的我：自我发展的心理学（陈海贤重磅新作，得到App10万+付...,41464,陈海贤 得到出品,台海出版社
8,小熊和最好的爸爸（全7册）,980674,（荷）阿兰德·丹姆  著，（荷）亚历克斯·沃尔夫  绘，漆仰平，爱桐  译,贵州人民出版社
9,人间失格（日本小说家太宰治的自传体小说，李现推荐）,1599762,（日）太宰治　著，杨伟　译,作家出版社
10,作家榜经典：月亮与六便士（畅销250万册！荣获2018当当名著桂冠！...,824649,毛姆 著，徐淳刚 译，大星文化 出品，作家榜经典文库，高更 绘,浙江文艺出版社
11,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,978500,刘慈欣,重庆出版社
12,平凡的世界：全三册（故事里的中国，董卿、朱一龙推荐，八年级下...,1128024,路遥 著，新经典 出品,北京十月文艺出版社
13,神奇校车·桥梁书版（全20册）,836399,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,贵州人民出版社
14,人生海海（麦家重磅新作！莫言、董卿、王家卫、高晓松、杨洋倾力...,275575,麦家  著 ，新经典  出品,北京十月文艺出版社
15,樊登推荐 你就是孩子最好的玩具,240624,（美）金伯莉·布雷恩  著，夏欣茁 译,南方出版社
16,信谊世界精选图画书-好饿的毛毛虫,78765,艾瑞·卡尔 著,明天出版社
17,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书）,37285,[日]中村恒子（恒子奶奶）著，紫图出品,北京日报出版社（原同心出版社）
18,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,1455649,[日]东野圭吾 著，新经典 出品,南海出版公司
19,马尔克斯：百年孤独（50周年纪念版）,1439700,加西亚·马尔克斯 著，新经典 出品,南海出版公司
20,神奇校车·图画书版（全12册，新增科学博览会1册）,1228721,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图",贵州人民出版社
21,非暴力沟通,448156,（美）马歇尔?卢森堡著   阮胤华译,华夏出版社
22,追风筝的人（2018年新版）,2567997,[美]卡勒德·胡赛尼（Khaled Hosseini） 著，李继宏 译,上海人民出版社
23,信谊世界精选图画书·爷爷一定有办法,365677,[加] 菲比·吉尔曼 著；宋珮 译,明天出版社
24,亲密关系：通往灵魂的桥梁（新版）,289526,"（加）克里斯多福·孟 著,博集天卷 出品",湖南文艺出版社
25,信谊世界精选图画书·逃家小兔,291133,[美] 玛格丽特·怀兹·布朗 著；[美] 克雷门·赫德 绘；黄廼毓 译,明天出版社
26,小猪唏哩呼噜(注音版上、下),411501,孙幼军　著,春风文艺出版社
27,皮囊（350万册纪念版。直面人生的终极问题，刻在骨头里的故事，容...,862737,蔡崇达，果麦文化 出品,天津人民出版社
28,断舍离,603837,(日)山下英子,广西科学技术出版社
29,薛兆丰经济学讲义,178826,薛兆丰,中信出版社
30,人间失格（李现推荐！未删节插图珍藏版！我曾以为自己很孤独，幸...,7452,太宰治 著，田原 译，大星文化 出品，作家榜经典文库，李宁浪 绘,中信出版社
31,凡是过去，皆为序曲：2020小林漫画日历,11731,林帝浣 绘著,上海文艺出版社
32,东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，东野圭吾...,2209279,(日)东野圭吾 著，新经典 出品,南海出版公司
33,霍乱时期的爱情（2015版）  一本好书 腾讯视频栏目推荐,535620,（哥伦）马尔克斯　 著，杨玲 译，新经典 出品,南海出版公司
34,笑背古诗：漫画版（全4册 ），中国诗词大会点评嘉宾推荐 含小学生...,75787,刘义良 著，夏和 绘,湖南教育出版社
35,东野圭吾：恶意（2016版，东野圭吾四大杰作之一）,568970,东野圭吾 著，娄美莲 译，新经典 出品,南海出版公司
36,我们的身体,252433,[法]艾德兰  文，[法]巴尔博里尼  绘，荣信教育  出品,未来出版社
37,米小圈上学记一年级（套装共4册）,265439,北猫,四川少儿出版社
38,一只特立独行的猪（肖战推荐）,314502,王小波 著，新经典 出品,北京十月文艺出版社
39,半小时漫画中国史1-4+世界史（共5册）（独家签章版）（看半小时漫...,414418,陈磊,海南出版社
40,窗边的小豆豆(2018版),1154006,（日）黑柳彻子， 爱心树童书  出品,南海出版公司
